id	is_true	c1.rep1	c1.rep2	c1.rep3	c2.rep1	c2.rep2	c2.rep3	c2.rep4
Q8TDD1.54689	false	3.284e+06	5.378e+06	4.354e+06	6.352e+06	4.190e+06	6.505e+06	4.425e+06
Q8TDD1.1608	false	1.659e+06	3.477e+06	4.134e+06	3.491e+06	2.632e+06	3.435e+06	2.250e+06
Q8TDD1.40528	false	3.322e+06	3.086e+06	4.906e+06	4.748e+06	3.380e+06	0.000e+00	0.000e+00
Q8TDD1.48018	false	2.662e+06	1.677e+06	0.000e+00	2.537e+06	1.334e+07	0.000e+00	0.000e+00
Q8TDD1.10836	false	2.019e+06	0.000e+00	7.452e+05	1.958e+06	0.000e+00	2.402e+06	1.789e+06
Q8TDD1.44725	false	0.000e+00	7.426e+05	1.043e+06	2.267e+06	1.437e+06	1.617e+06	1.102e+06
Q8TDD1.7447	false	3.717e+06	5.296e+06	4.116e+06	6.517e+06	5.924e+06	4.483e+06	4.538e+06
Q8TDD1.30170	false	1.663e+06	3.485e+06	4.034e+06	4.011e+06	2.382e+06	3.206e+06	3.191e+06
Q8TDD1.54590	false	2.485e+06	4.386e+06	3.110e+06	3.453e+06	3.091e+06	6.836e+06	2.709e+06
Q07812.34257	false	5.779e+06	1.410e+07	1.244e+07	1.320e+07	1.307e+07	1.015e+07	1.119e+07
Q07812.34372	false	9.998e+06	1.542e+07	2.761e+07	2.624e+07	2.030e+07	2.656e+07	2.947e+07
Q07812.48761	false	1.236e+07	3.223e+06	1.001e+07	8.880e+06	1.098e+07	1.052e+07	1.214e+07
Q07812.17403	false	1.181e+07	2.349e+07	1.855e+07	2.383e+07	1.901e+07	3.248e+07	2.651e+07
Q07812.22540	false	9.284e+06	1.681e+07	2.613e+07	1.925e+07	2.437e+07	1.816e+07	1.789e+07
Q07812.51421	false	0.000e+00	1.457e+06	8.048e+05	1.992e+06	7.583e+05	1.704e+06	1.578e+06
Q07812.55519	false	0.000e+00	8.958e+05	1.048e+06	2.503e+06	0.000e+00	1.557e+06	9.001e+05
P62253.37176	false	1.538e+06	1.252e+06	4.301e+06	4.963e+06	4.414e+06	4.385e+06	3.098e+06
Q9NX00.1459	false	0.000e+00	3.808e+06	3.608e+06	3.811e+06	3.437e+06	3.812e+06	3.111e+06
P05386.25591	false	0.000e+00	2.047e+06	1.237e+06	4.798e+06	7.345e+06	4.732e+06	3.752e+06
P05386.235	false	0.000e+00	3.875e+08	4.231e+08	0.000e+00	3.710e+08	4.932e+08	3.348e+08
Q658Y4.46448	false	1.098e+07	5.158e+05	1.592e+06	1.655e+06	1.850e+06	1.286e+06	2.254e+06
Q658Y4.54706	false	0.000e+00	1.520e+06	4.073e+05	2.876e+06	1.443e+06	1.704e+06	1.312e+06
Q658Y4.12662	false	0.000e+00	4.086e+06	2.601e+06	1.937e+06	0.000e+00	4.035e+06	2.618e+06
Q658Y4.5993	false	0.000e+00	1.127e+06	1.668e+06	2.162e+06	1.686e+06	1.607e+06	2.058e+06
Q658Y4.6057	false	4.290e+05	7.321e+05	2.052e+06	1.855e+06	3.003e+06	2.251e+06	2.068e+06
Q658Y4.22905	false	2.193e+06	1.209e+06	3.578e+06	4.048e+06	3.414e+06	4.407e+06	2.653e+06
O15014.16145	false	2.018e+06	4.378e+06	3.888e+06	3.053e+06	2.658e+06	3.124e+06	3.357e+06
O15014.39729	false	8.717e+05	3.152e+06	0.000e+00	4.749e+06	4.325e+06	2.749e+06	2.916e+06
O15014.27556	false	1.257e+06	1.894e+06	1.830e+06	2.054e+06	1.621e+06	1.327e+06	1.830e+06
O15014.39767	false	0.000e+00	1.202e+06	1.342e+06	1.874e+06	0.000e+00	0.000e+00	2.426e+06
Q9NP50.14366	false	1.371e+06	1.203e+06	3.368e+06	3.688e+06	5.865e+06	4.108e+06	2.550e+06
O00571;O15523;Q9NQI0.5623	false	3.314e+07	3.482e+07	2.437e+07	3.315e+07	3.446e+07	3.575e+07	3.141e+07
O00571;O15523;Q9NQI0.10871	false	8.675e+06	1.025e+07	8.971e+06	1.157e+07	1.706e+07	1.238e+07	1.092e+07
O00571;O15523;Q9NQI0.55866	false	7.154e+06	1.204e+07	1.031e+07	1.230e+07	1.136e+07	1.255e+07	1.060e+07
O00571;O15523;Q9NQI0.55867	false	5.077e+06	1.801e+07	9.151e+06	3.636e+07	1.095e+07	2.446e+07	2.936e+07
O00571;O15523;Q9NQI0.7612	false	3.918e+07	3.644e+07	6.360e+07	6.498e+07	6.061e+07	6.521e+07	8.789e+07
O00571;O15523;Q9NQI0.21253	false	4.506e+06	1.921e+07	1.892e+07	3.019e+07	9.929e+06	1.841e+07	1.403e+07
O00571;O15523;Q9NQI0.46853	false	1.667e+07	1.579e+07	1.242e+07	1.703e+07	1.272e+07	1.835e+07	1.495e+07
O00571;O15523;Q9NQI0.52807	false	2.496e+07	1.169e+07	2.816e+07	3.545e+07	2.956e+07	3.197e+07	2.410e+07
O00571;O15523;Q9NQI0.25098	false	8.788e+06	1.982e+06	5.225e+05	6.755e+06	8.465e+05	9.780e+06	0.000e+00
O00571;O15523;Q9NQI0.27594	false	1.670e+07	1.919e+07	2.637e+07	3.502e+07	2.757e+07	3.297e+07	2.828e+07
O00571;O15523;Q9NQI0.42315	false	1.701e+07	1.976e+07	1.552e+07	1.976e+07	1.521e+07	2.001e+07	2.059e+07
O00571;O15523;Q9NQI0.21331	false	9.429e+07	1.164e+08	1.354e+08	1.553e+08	1.521e+08	1.297e+08	1.754e+08
O00571;O15523;Q9NQI0.47895	false	6.048e+07	7.396e+07	6.941e+07	8.496e+07	8.220e+07	1.101e+08	1.209e+08
O00571;O15523;Q9NQI0.17949	false	0.000e+00	2.491e+07	2.998e+07	2.770e+07	2.081e+07	0.000e+00	2.679e+07
O00571;O15523;Q9NQI0.44518	false	9.919e+07	8.416e+07	1.187e+08	1.252e+08	1.045e+08	1.192e+08	1.090e+08
O00571;O15523;Q9NQI0.6696	false	7.218e+07	7.801e+07	1.174e+08	1.035e+08	1.037e+08	1.220e+08	1.119e+08
O00571;O15523;Q9NQI0.40555	false	1.236e+07	1.215e+07	1.536e+07	1.520e+07	1.509e+07	1.484e+07	1.055e+07
O00571;O15523;Q9NQI0.10671	false	3.912e+06	1.410e+07	1.770e+07	2.220e+07	1.791e+07	1.952e+07	1.560e+07
O00571;O15523;Q9NQI0.7792	false	4.805e+06	7.301e+06	1.949e+06	6.648e+06	3.112e+06	9.428e+06	1.636e+07
O00571;O15523;Q9NQI0.57586	false	4.801e+06	5.380e+06	3.413e+06	1.019e+07	6.933e+06	9.337e+06	1.202e+07
O00571;O15523;Q9NQI0.46324	false	3.511e+07	4.557e+07	4.356e+07	4.741e+07	3.823e+07	3.729e+07	3.000e+07
Q7Z7L8.47347	false	8.242e+06	1.585e+07	1.501e+07	1.569e+07	1.456e+07	1.800e+07	1.385e+07
Q7Z7L8.16505	false	4.056e+06	5.099e+06	8.577e+06	9.246e+06	1.061e+07	5.579e+06	7.806e+06
P60033.40655	false	0.000e+00	4.569e+06	2.493e+06	2.134e+06	3.082e+06	0.000e+00	3.892e+06
Q99757.5393	false	3.598e+06	6.969e+06	5.929e+06	6.472e+06	1.289e+07	6.236e+06	6.666e+06
Q99757.16046	false	0.000e+00	1.472e+06	5.766e+06	7.701e+06	8.276e+06	4.461e+06	8.051e+06
P0CX48;P0CX47.37829	true	6.913e+07	7.846e+07	8.608e+07	3.157e+07	2.649e+07	3.505e+07	2.325e+07
P0CX48;P0CX47.41511	true	2.743e+07	3.181e+07	0.000e+00	0.000e+00	1.673e+07	0.000e+00	1.733e+07
P0CX48;P0CX47.54856	true	1.318e+07	1.928e+07	1.420e+07	4.429e+06	3.328e+06	5.027e+06	2.898e+06
P0CX48;P0CX47.4955	true	2.808e+06	8.347e+06	7.223e+06	1.937e+06	1.544e+06	2.277e+06	1.057e+06
P0CX48;P0CX47.47195	true	1.136e+07	1.739e+07	1.665e+07	4.456e+06	4.215e+06	6.694e+06	5.197e+06
P0CX48;P0CX47.23632	true	6.253e+07	5.526e+07	6.390e+07	1.772e+07	1.692e+07	2.836e+07	1.986e+07
P0CX48;P0CX47.47984	true	3.227e+07	3.793e+07	4.319e+07	1.680e+07	1.234e+07	1.224e+07	1.558e+07
Q9H3S7.321	false	1.958e+06	2.822e+06	3.264e+06	4.612e+06	0.000e+00	2.732e+06	2.223e+06
Q9H3S7.56003	false	0.000e+00	5.544e+06	4.770e+06	4.272e+06	0.000e+00	5.868e+06	0.000e+00
Q9H3S7.5764	false	1.317e+06	0.000e+00	1.520e+06	1.619e+06	1.475e+06	1.092e+06	0.000e+00
Q9H3S7.53866	false	1.993e+06	2.701e+06	2.332e+06	2.499e+06	0.000e+00	1.908e+06	1.872e+06
Q9H3S7.2965	false	1.363e+06	1.867e+06	0.000e+00	1.940e+06	0.000e+00	1.908e+06	0.000e+00
Q9H3S7.16309	false	0.000e+00	1.416e+06	2.496e+06	2.205e+06	3.370e+06	1.328e+06	1.416e+06
Q9H3S7.18906	false	0.000e+00	5.685e+06	4.985e+06	4.810e+06	4.316e+06	4.840e+06	3.871e+06
Q9H3S7.39099	false	0.000e+00	9.255e+06	1.518e+07	1.341e+07	0.000e+00	1.376e+07	0.000e+00
Q9H3S7.24541	false	0.000e+00	2.244e+06	2.552e+06	3.216e+06	2.214e+06	3.563e+06	1.827e+06
Q8NC96.16628	false	0.000e+00	1.774e+06	4.105e+05	1.485e+06	0.000e+00	1.475e+06	1.071e+06
Q8NC96.17399	false	1.164e+06	9.412e+05	1.524e+06	1.600e+06	1.404e+06	0.000e+00	0.000e+00
P54920.49223	false	9.603e+06	1.465e+07	1.663e+07	2.663e+07	1.036e+07	2.043e+07	1.926e+07
P54920.29401	false	3.973e+07	3.418e+07	4.037e+07	3.356e+07	3.624e+07	3.518e+07	3.422e+07
P54920.37465	false	3.590e+06	2.378e+06	5.850e+06	8.404e+06	8.529e+06	1.004e+07	4.734e+06
P54920.20394	false	2.742e+06	4.606e+05	5.550e+06	5.684e+06	6.306e+06	5.097e+06	5.895e+06
P54920.51563	false	5.854e+06	1.106e+07	1.329e+07	1.720e+07	1.104e+07	1.279e+07	8.642e+06
P54920.57051	false	8.219e+06	1.804e+07	1.411e+07	1.683e+07	1.011e+07	1.298e+07	1.254e+07
P54920.8655	false	9.107e+06	7.839e+06	1.406e+07	7.203e+06	1.151e+07	8.076e+06	8.961e+06
P54920.1924	false	4.964e+06	6.627e+06	9.409e+06	1.026e+07	8.087e+06	7.881e+06	8.323e+06
Q9H5I1.38118	false	1.325e+06	1.669e+06	2.041e+06	1.717e+06	1.734e+06	1.124e+06	2.258e+06
Q9Y5K5.27143	false	8.235e+06	1.102e+07	1.081e+07	9.827e+06	1.047e+07	1.070e+07	6.609e+06
Q9Y5K5.9960	false	2.134e+06	7.513e+06	7.877e+06	9.061e+06	6.684e+06	6.299e+06	7.236e+06
Q9Y5K5.56553	false	6.596e+06	8.975e+06	9.228e+06	1.603e+07	1.307e+07	1.014e+07	9.544e+06
Q9Y5K5.15279	false	1.651e+06	1.605e+06	4.758e+06	4.986e+06	7.031e+06	5.016e+06	5.230e+06
Q9Y5K5.37266	false	8.956e+06	1.320e+07	2.043e+07	1.868e+07	1.172e+07	1.676e+07	1.560e+07
